scenario,Privacy_S_1,Utility_S_1,Attack_S_1,leak_count_1,_source_1,Privacy_S_2,Utility_S_2,Attack_S_2,leak_count_2,_source_2,Privacy_S_Δ,Utility_S_Δ,Attack_S_Δ
internal_hr/redaction_2,56.353591160220994,100.0,43.646408839779006,,Baseline,93.37016574585635,22.22,6.629834254143646,,AirGap,37.01657458563536,-77.78,-37.01657458563536
marketing_campaign/redaction_2,58.37837837837838,100.0,41.62162162162162,,Baseline,90.27027027027027,33.33,9.72972972972973,,AirGap,31.891891891891895,-66.67,-31.89189189189189
public_job_board/redaction_2,57.64705882352941,100.0,42.35294117647059,,Baseline,92.3529411764706,22.22,7.647058823529412,,AirGap,34.70588235294118,-77.78,-34.705882352941174
recruiter_outreach/redaction_2,57.608695652173914,100.0,42.391304347826086,,Baseline,80.97826086956522,24.44,19.02173913043478,,AirGap,23.369565217391305,-75.56,-23.369565217391305
research_dataset/redaction_2,57.89473684210526,100.0,42.10526315789474,,Baseline,87.96992481203007,33.33,12.030075187969924,,AirGap,30.075187969924812,-66.67,-30.075187969924816
