dataset,rows,total_tp,total_fp,total_fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,exact_match_accuracy,exact_match_count
dataset_final_metrics,15805,71541,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15805
dataset_balanced_metrics,1500,8409,63,26,0.9925637393767706,0.9969176052163604,0.9947359082037026,0.9933980759980761,0.9974396825396825,0.995076233312611,0.9446666666666667,1417
dataset_1500_bank_balanced_metrics,1500,9110,64,27,0.9930237628079355,0.9970449819415563,0.9950303096499372,0.9938224146224146,0.9974907407407407,0.9953525209854931,0.9433333333333334,1415
