delta,epoch,epsilon,test_acc,sigma,clip,lot_size
0.001,9,0.805651025995739,0.3062500059604645,1.5,0.17,60
0.001,10,0.8550799970389269,0.36000001430511475,1.5,0.17,60
0.001,11,0.9025332897462254,0.38499999046325684,1.5,0.17,60
0.001,12,0.94826597831914,0.36375001072883606,1.5,0.17,60
0.001,13,0.9924819937233127,0.5099999904632568,1.5,0.17,60
0.001,14,1.0353474312194484,0.4950000047683716,1.5,0.17,60
0.001,15,1.0769997936874285,0.5112500190734863,1.5,0.17,60
0.001,16,1.1175544701920412,0.5512499809265137,1.5,0.17,60
0.001,17,1.157109404385044,0.6337500214576721,1.5,0.17,60
0.001,18,1.195748668108266,0.6812499761581421,1.5,0.17,60
0.001,19,1.233544987495008,0.6600000262260437,1.5,0.17,60
0.001,20,1.2705618596589119,0.6600000262260437,1.5,0.17,60
0.001,21,1.30685509281858,0.6775000095367432,1.5,0.17,60
0.001,22,1.3424740601358127,0.7162500023841858,1.5,0.17,60
0.001,23,1.3774626942592127,0.7262499928474426,1.5,0.17,60
0.001,24,1.4118603127118536,0.6787499785423279,1.5,0.17,60
0.001,25,1.4457022434578335,0.6962500214576721,1.5,0.17,60
0.001,26,1.4790203961295465,0.7237499952316284,1.5,0.17,60
0.001,27,1.511843710608406,0.7099999785423279,1.5,0.17,60
0.001,28,1.5441985165131913,0.7087500095367432,1.5,0.17,60
0.001,29,1.576108860426735,0.7275000214576721,1.5,0.17,60
0.001,30,1.607596780156945,0.7200000286102295,1.5,0.17,60
0.001,31,1.6386825252307697,0.731249988079071,1.5,0.17,60
0.001,32,1.669384770428471,0.7549999952316284,1.5,0.17,60
0.001,33,1.6997207520799802,0.7425000071525574,1.5,0.17,60
0.001,34,1.729706457276698,0.7212499976158142,1.5,0.17,60
0.001,35,1.759356719929657,0.7612500190734863,1.5,0.17,60
0.001,36,1.788685342610374,0.7662500143051147,1.5,0.17,60
0.001,37,1.8177051982274348,0.7699999809265137,1.5,0.17,60
0.001,38,1.8464283124203094,0.7699999809265137,1.5,0.17,60
0.001,39,1.8748659450629381,0.78125,1.5,0.17,60
0.001,40,1.9030286501085107,0.7837499976158142,1.5,0.17,60
0.001,41,1.9309263359027318,0.78125,1.5,0.17,60
0.001,42,1.9585683276674044,0.7887499928474426,1.5,0.17,60
0.001,43,1.985963411801581,0.793749988079071,1.5,0.17,60
0.001,44,2.0131198744070007,0.78125,1.5,0.17,60
0.001,45,2.0400455371476167,0.7950000166893005,1.5,0.17,60
0.001,46,2.066747810222676,0.7950000166893005,1.5,0.17,60
0.001,47,2.093233700586993,0.7987499833106995,1.5,0.17,60
0.001,48,2.11950986213142,0.8025000095367432,1.5,0.17,60
0.001,49,2.145582600766196,0.800000011920929,1.5,0.17,60
0.001,50,2.1714579161833707,0.8012499809265137,1.5,0.17,60
0.001,51,2.1971415125178297,0.8025000095367432,1.5,0.17,60
0.001,52,2.2226388228230793,0.800000011920929,1.5,0.17,60
0.001,53,2.247955022316996,0.8075000047683716,1.5,0.17,60
0.0005,1,0.27635966686968627,0.3062500059604645,1.5,0.17,60
0.0005,2,0.3942325526222929,0.27125000953674316,1.5,0.17,60
0.0005,3,0.48787052919312196,0.39250001311302185,1.5,0.17,60
0.0005,4,0.5687241997239042,0.45375001430511475,1.5,0.17,60
0.0005,5,0.641293440958978,0.3087500035762787,1.5,0.17,60
0.0005,6,0.7079132985351019,0.4012500047683716,1.5,0.17,60
0.0005,7,0.7699844801687806,0.5325000286102295,1.5,0.17,60
0.0005,8,0.8284271855436552,0.5525000095367432,1.5,0.17,60
0.0005,9,0.883885012586251,0.5337499976158142,1.5,0.17,60
0.0005,10,0.9368295724876794,0.5975000262260437,1.5,0.17,60
0.0005,11,0.987618850551152,0.581250011920929,1.5,0.17,60
0.0005,12,1.036532349130461,0.5874999761581421,1.5,0.17,60
0.0005,13,1.0837933532344548,0.543749988079071,1.5,0.17,60
0.0005,14,1.1295836742318675,0.5112500190734863,1.5,0.17,60
0.0005,15,1.1740536703848663,0.5425000190734863,1.5,0.17,60
0.0005,16,1.2173294991382835,0.518750011920929,1.5,0.17,60
0.0005,17,1.2595181922361178,0.5512499809265137,1.5,0.17,60
0.0005,18,1.3007115514025205,0.6037499904632568,1.5,0.17,60
0.0005,19,1.3409889936305945,0.6675000190734863,1.5,0.17,60
0.0005,20,1.380419809953648,0.6974999904632568,1.5,0.17,60
0.0005,21,1.4190648825114305,0.7300000190734863,1.5,0.17,60
0.0005,22,1.4569780537404147,0.7200000286102295,1.5,0.17,60
0.0005,23,1.494207214405367,0.7437499761581421,1.5,0.17,60
0.0005,24,1.530795218278617,0.7599999904632568,1.5,0.17,60
0.0005,25,1.566780548889952,0.7512500286102295,1.5,0.17,60
0.0005,26,1.6021979720695194,0.7325000166893005,1.5,0.17,60
0.0005,27,1.6370789840737647,0.737500011920929,1.5,0.17,60
0.0005,28,1.6714522530500773,0.7437499761581421,1.5,0.17,60
0.0005,29,1.7053439480990331,0.7537500262260437,1.5,0.17,60
0.0005,30,1.7387780512798683,0.7587500214576721,1.5,0.17,60
0.0005,31,1.7717765900866826,0.7612500190734863,1.5,0.17,60
0.0005,32,1.8043598675253183,0.7662500143051147,1.5,0.17,60
0.0005,33,1.8365466321834667,0.78125,1.5,0.17,60
0.0005,34,1.8683542481297488,0.7649999856948853,1.5,0.17,60
0.0005,35,1.899798853990773,0.7774999737739563,1.5,0.17,60
0.0005,36,1.9308954342752056,0.7724999785423279,1.5,0.17,60
0.0005,37,1.9616579887264833,0.7837499976158142,1.5,0.17,60
0.0005,38,1.992099568579207,0.7925000190734863,1.5,0.17,60
0.0005,39,2.022232403338486,0.7900000214576721,1.5,0.17,60
0.0005,40,2.0520679561788535,0.793749988079071,1.5,0.17,60
0.0005,41,2.0816169831218243,0.7912499904632568,1.5,0.17,60
0.0005,42,2.1108896043588032,0.800000011920929,1.5,0.17,60
0.0005,43,2.1398953595545183,0.7962499856948853,1.5,0.17,60
0.0005,44,2.16864322989277,0.7912499904632568,1.5,0.17,60
0.0005,45,2.1971417144571017,0.7975000143051147,1.5,0.17,60
0.0005,46,2.2253988459916276,0.7912499904632568,1.5,0.17,60
0.0005,47,2.25342222373243,0.7962499856948853,1.5,0.17,60
0.0005,48,2.281219062755567,0.7925000190734863,1.5,0.17,60
0.0005,49,2.3087962034770677,0.793749988079071,1.5,0.17,60
0.0005,50,2.336160149785085,0.7875000238418579,1.5,0.17,60
0.0005,51,2.3633170841245863,0.7900000214576721,1.5,0.17,60
0.0005,52,2.390272898341923,0.7875000238418579,1.5,0.17,60
0.0005,53,2.4170331993582574,0.793749988079071,1.5,0.17,60
