epoch,train_acc,test_acc,epsilon
1,0.25450521656655073,0.26875001192092896,0.29854179662267744
2,0.2945310113046135,0.26499998569488525,0.4223952686462532
3,0.2907801418439716,0.3100000023841858,0.5205922326046079
4,0.3183497536945813,0.32124999165534973,0.6052692657962313
5,0.32627921667719517,0.32875001430511475,0.6811923181111803
6,0.32532405943724313,0.35749998688697815,0.7508329585156563
7,0.3935141877143748,0.38624998927116394,0.8156731488965019
8,0.4199564811936587,0.4612500071525574,0.8766858890812651
9,0.4354587869362364,0.46000000834465027,0.9345515676928099
10,0.48444863336475025,0.5287500023841858,0.9897684700616376
11,0.5634945397815913,0.5600000023841858,1.0427147197508444
12,0.5780762023735165,0.6225000023841858,1.0936854269579162
13,0.5994856959177114,0.6075000166893005,1.1429162767600511
14,0.6026214833759591,0.6025000214576721,1.1905991050347824
15,0.6241737488196412,0.5874999761581421,1.2368925717181178
16,0.6402671755725191,0.6362500190734863,1.2819297259323368
17,0.6493998736576121,0.6474999785423279,1.32582341658859
18,0.6753650201926064,0.6362500190734863,1.36867044003394
19,0.6377566656451119,0.6200000047683716,1.4105544756105586
20,0.6269027648337994,0.675000011920929,1.4515485739163778
21,0.6592780240658644,0.6424999833106995,1.491716844503397
22,0.6310259579728059,0.6637499928474426,1.5311160364083252
23,0.6811638591117918,0.7300000190734863,1.5697965756986905
24,0.7350931677018634,0.7524999976158142,1.6078035745080954
25,0.7496723460026212,0.7587500214576721,1.6451775788439715
26,0.7583975346687211,0.7799999713897705,1.6819551658919076
27,0.7779892166190929,0.7712500095367432,1.7181694989780427
28,0.7583176396735719,0.7674999833106995,1.7538507504962917
29,0.7685696746470227,0.7837499976158142,1.7890264525019617
30,0.7824059682934411,0.7837499976158142,1.823721834840633
31,0.7902621722846442,0.7662500143051147,1.8579600701251477
32,0.7534165181224005,0.768750011920929,1.891762523415293
33,0.790015600624025,0.7962499856948853,1.9251489028589692
34,0.8093274111675127,0.7925000190734863,1.9581374862551717
35,0.8065818068922694,0.7912499904632568,1.9907452250752489
36,0.8083929733246584,0.7912499904632568,2.0229878884594
37,0.80864,0.7875000238418579,2.0548801788559525
38,0.8024007386888273,0.7950000166893005,2.086435836665326
39,0.8066400245926837,0.8012499809265137,2.1176677016834167
40,0.8254889975550123,0.8075000047683716,2.1485878242439957
41,0.8103177099716892,0.8037499785423279,2.1792075088347262
42,0.8077279752704791,0.8075000047683716,2.2095373939206873
43,0.815945188414824,0.8037499785423279,2.239587496679179
44,0.8137472283813747,0.8037499785423279,2.2693672598980523
45,0.8184899845916795,0.7975000143051147,2.2988856079184785
46,0.8192234245703374,0.8025000095367432,2.3281509761420254
47,0.8033550792171482,0.793749988079071,2.3571713530560094
48,0.8137626262626263,0.7975000143051147,2.385954314336724
49,0.8131763208147677,0.8062499761581421,2.4145070440355965
50,0.8240653471567704,0.8050000071525574,2.442836368846294
51,0.8189073050951504,0.8100000023841858,2.47094878789272
52,0.8252246668732569,0.8075000047683716,2.498850482219589
53,0.8296599496221663,0.8149999976158142,2.526547339483401
