Algorithm,Final Reward,Training Time (s),Restaurant Utility (strictly),Restaurant Privacy (strictly),Restaurant Utility (balanced),Restaurant Privacy (balanced),Restaurant Utility (accurately),Restaurant Privacy (accurately),Bank Utility (strictly),Bank Privacy (strictly),Bank Utility (balanced),Bank Privacy (balanced),Bank Utility (accurately),Bank Privacy (accurately)
GRPO,0.9291838564213575,4.62465500831604,1.0,0.8888888888888888,1.0,0.8888888888888888,1.0,0.8888888888888888,0.8,1.0,0.8,1.0,0.8,1.0
GROUPEDPPO,0.9574525288600303,4.700059175491333,1.0,0.8888888888888888,1.0,0.8888888888888888,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0
VANILLARL,0.959772503607506,3.8157689571380615,1.0,0.8888888888888888,1.0,0.8888888888888888,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0
